primary_row_no,source_key,title,canonical_url,source_contract_count,all_contract_urls,proposed_cadence_class,proposed_source_publication_cadence,proposed_etl_refresh_interval,proposed_active_window_ist,proposed_holiday_or_closed_rule,proposed_empty_data_rule,proposed_fetch_group,current_live_panel_code_interval,evidence_status,official_evidence_url,reviewer_correction,reviewer_notes
16,fred_broad_dollar_index,FRED Trade-Weighted U.S. Dollar Index (DTWEXBGS),https://fred.stlouisfed.org/graph/fredgraph.csv?id=DTWEXBGS,2,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DTWEXBGS | https://fred.stlouisfed.org/series/DTWEXBGS,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,06:00-22:00 IST on U.S. business days,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
19,wgc_gold_etf_holdings,World Gold Council Weekly Gold ETF Holdings,https://fsapi.gold.org/api/v11/charts/etfv2/revised/holdings-chart2|wgc_gold_etf_flows:https://fsapi.gold.org/api/v11/charts/etfv2/revised/flows-chart2,2,https://fsapi.gold.org/api/v11/charts/etfv2/revised/holdings-chart2|wgc_gold_etf_flows:https://fsapi.gold.org/api/v11/charts/etfv2/revised/flows-chart2 | https://www.gold.org/goldhub/data/gold-etfs-holdings-and-flows,WEEKLY_RELEASE,Weekly dataset; exact weekday/time needs official verification,Daily check; 60 minutes during the verified release window,Publisher release window to be verified and converted to IST,"Follow publisher calendar, not NSE holiday state",Retain the previous dated release until a newer official period is available,WGC_ETF_HOLDINGS_AND_FLOWS_BUNDLE,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
20,world_gold_council_oi,World Gold Council Weekly Gold Futures OI,https://fsapi.gold.org/datawarehouseapi/api/total-open-interest,2,https://fsapi.gold.org/datawarehouseapi/api/total-open-interest | https://www.gold.org/goldhub/data/gold-open-interest,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,06:00-12:00 IST daily check,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
21,eia_weekly_petroleum_stocks,EIA Weekly U.S. Petroleum Stocks Status,https://ir.eia.gov/wpsr/table1.csv,2,https://ir.eia.gov/wpsr/table1.csv | https://www.eia.gov/petroleum/supply/weekly/index.php,WEEKLY_RELEASE,Weekly U.S. petroleum status release; holiday delays are possible,30 minutes around release; daily check until captured,Wednesday 19:30-23:30 IST; verify DST/holiday-adjusted official release calendar,Follow the EIA holiday release calendar rather than NSE holidays,WAIT before scheduled release; MISSING after the official delayed-release cutoff,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
22,nse_slb,NSE Securities Lending & Borrowing (SLB) Open Positions,https://nsearchives.nseindia.com/archives/slbs/open_pos/slb_openpos_13072026.csv,2,https://nsearchives.nseindia.com/archives/slbs/open_pos/slb_openpos_13072026.csv | https://www.nseindia.com/static/products-services/slbs-trading,DAILY_EOD,One official dataset per exchange trading day after market close,15 minutes during release window; stop after same-day file is captured,15:45-22:00 IST on exchange trading days,On holidays/weekends expect the last trading-day file and do not relabel it as today's data,Missing/empty before the release cutoff is WAIT; after cutoff it is MISSING/PARTIAL and must not overwrite last good data,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
23,nse_bhavcopy_eod,NSE Official Cash EQ Bhavcopy,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20260715_F_0000.csv.zip,2,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20260715_F_0000.csv.zip | https://www.nseindia.com/all-reports,DAILY_EOD,One official dataset per exchange trading day after market close,15 minutes during release window; stop after same-day file is captured,15:45-22:00 IST on exchange trading days,On holidays/weekends expect the last trading-day file and do not relabel it as today's data,Missing/empty before the release cutoff is WAIT; after cutoff it is MISSING/PARTIAL and must not overwrite last good data,NSE_PR_ZIP_REUSE,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
24,nse_equity_universe,NSE Equity Instrument Identity Universe,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,2,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv | https://www.nseindia.com/static/market-data/securities-available-for-trading,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,06:00-08:30 IST daily check,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
25,nse_fo_bhavcopy,NSE F&O Derivatives EOD Bhavcopy,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20260710_F_0000.csv.zip|nse_participant_oi:https://archives.nseindia.com/content/nsccl/fao_participant_oi_10072026.csv,2,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20260710_F_0000.csv.zip|nse_participant_oi:https://archives.nseindia.com/content/nsccl/fao_participant_oi_10072026.csv | https://www.nseindia.com/all-reports-derivatives,DAILY_EOD,One official dataset per exchange trading day after market close,15 minutes during release window; stop after same-day file is captured,15:45-22:00 IST on exchange trading days,On holidays/weekends expect the last trading-day file and do not relabel it as today's data,Missing/empty before the release cutoff is WAIT; after cutoff it is MISSING/PARTIAL and must not overwrite last good data,NSE_FO_BHAVCOPY_AND_PARTICIPANT_OI_BUNDLE,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
26,nse_nifty500_constituents,NSE Nifty500 Index Constituents,https://nsearchives.nseindia.com/content/indices/ind_nifty500list.csv,1,https://nsearchives.nseindia.com/content/indices/ind_nifty500list.csv,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,06:00-08:30 IST daily check,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
27,cftc_legacy_futures_only,CFTC COT Legacy Futures Only Report,https://publicreporting.cftc.gov/resource/6dca-aqww.json?%24limit=500&%24order=report_date_as_yyyy_mm_dd+DESC,1,https://publicreporting.cftc.gov/resource/6dca-aqww.json?%24limit=500&%24order=report_date_as_yyyy_mm_dd+DESC,WEEKLY_RELEASE,"Weekly COT release, normally Friday U.S. time; holiday delays are possible",30 minutes around release; daily check until captured,Saturday 00:30-04:00 IST; verify DST and CFTC holiday schedule,"Follow the CFTC release calendar, independent of Indian exchange holidays",WAIT before release; MISSING after official cutoff; do not overwrite the prior report,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
28,cftc_disagg_futures_only,CFTC COT Disaggregated Futures Only Report,https://publicreporting.cftc.gov/resource/72hh-3qpy.json?%24limit=500&%24order=report_date_as_yyyy_mm_dd+DESC,1,https://publicreporting.cftc.gov/resource/72hh-3qpy.json?%24limit=500&%24order=report_date_as_yyyy_mm_dd+DESC,WEEKLY_RELEASE,"Weekly COT release, normally Friday U.S. time; holiday delays are possible",30 minutes around release; daily check until captured,Saturday 00:30-04:00 IST; verify DST and CFTC holiday schedule,"Follow the CFTC release calendar, independent of Indian exchange holidays",WAIT before release; MISSING after official cutoff; do not overwrite the prior report,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
29,cftc_tff_futures_only,CFTC COT Financial Traders (TFF) Futures Only Report,https://publicreporting.cftc.gov/resource/gpe5-46if.json?%24limit=500&%24order=report_date_as_yyyy_mm_dd+DESC,1,https://publicreporting.cftc.gov/resource/gpe5-46if.json?%24limit=500&%24order=report_date_as_yyyy_mm_dd+DESC,WEEKLY_RELEASE,"Weekly COT release, normally Friday U.S. time; holiday delays are possible",30 minutes around release; daily check until captured,Saturday 00:30-04:00 IST; verify DST and CFTC holiday schedule,"Follow the CFTC release calendar, independent of Indian exchange holidays",WAIT before release; MISSING after official cutoff; do not overwrite the prior report,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
30,amfi_scheme_wise,AMFI Quarterly Scheme-Wise Mutual Fund Disclosures,https://www.amfiindia.com/api/schemewisedisclosure-investment?quarter=resolved,2,https://www.amfiindia.com/api/schemewisedisclosure-investment?quarter=resolved | https://www.amfiindia.com/otherdata/scheme-wise-disclosure,QUARTERLY_RELEASE,Quarterly disclosure; exact due/publication date needs official verification,Daily during the post-quarter release window; weekly otherwise,"First 15 calendar days after quarter end, 08:00-20:00 IST","Calendar-based, not exchange-session based",Retain the previous quarter until a new complete quarter is available,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
36,bse_bhavcopy_eod,BSE Cash EOD Bhavcopy,https://www.bseindia.com/download/BhavCopy/Equity/BhavCopy_BSE_CM_0_0_0_20260715_F_0000.csv,2,https://www.bseindia.com/download/BhavCopy/Equity/BhavCopy_BSE_CM_0_0_0_20260715_F_0000.csv | https://www.bseindia.com/markets/MarketInfo/BhavCopy.aspx,DAILY_EOD,One official dataset per exchange trading day after market close,15 minutes during release window; stop after same-day file is captured,15:45-22:00 IST on exchange trading days,On holidays/weekends expect the last trading-day file and do not relabel it as today's data,Missing/empty before the release cutoff is WAIT; after cutoff it is MISSING/PARTIAL and must not overwrite last good data,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
40,cftc_cot,CFTC Commitments of Traders (COT) Annual Report,https://www.cftc.gov/dea/newcot/f_disagg.txt,3,https://www.cftc.gov/dea/newcot/f_disagg.txt | https://www.cftc.gov/files/dea/history/fut_disagg_txt_2026.zip | https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,WEEKLY_RELEASE,"Weekly COT release, normally Friday U.S. time; holiday delays are possible",30 minutes around release; daily check until captured,Saturday 00:30-04:00 IST; verify DST and CFTC holiday schedule,"Follow the CFTC release calendar, independent of Indian exchange holidays",WAIT before release; MISSING after official cutoff; do not overwrite the prior report,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
44,nsdl_fpi_fortnightly,NSDL Fortnightly FPI Sectoral AUC (WAF Protected),https://www.fpi.nsdl.co.in/web/Reports/FPIFortnightlySelection.aspx,1,https://www.fpi.nsdl.co.in/web/Reports/FPIFortnightlySelection.aspx,FORTNIGHTLY_RELEASE,Fortnightly reporting period; exact publication lag needs official verification,Daily during expected release window; weekly otherwise,"15th/month-end plus the following business days, 17:00-23:30 IST",Use NSDL reporting calendar; weekend/holiday delays are valid,Keep the prior fortnight until a newer report is published; schema-empty is not success,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
45,nsdl_fpi_daily_reportdetail,NSDL FPI AUC Category Report (RepID=94),https://www.fpi.nsdl.co.in/web/Reports/ReportDetail.aspx?RepID=94,1,https://www.fpi.nsdl.co.in/web/Reports/ReportDetail.aspx?RepID=94,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,17:00-23:30 IST on Indian business/trading days,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
48,mcx_bhavcopy,MCX Commodity EOD Bhavcopy,https://www.mcxindia.com/market-data/bhavcopy,3,https://www.mcxindia.com/market-data/bhavcopy | https://www.mcxindia.com/market-data/BhavCopy | https://www.mcxindia.com/market-data/bhav-copy,DAILY_EOD_COMMODITY,One MCX trading-day file after the evening commodity session,30 minutes during release window; stop after same-day file is captured,23:15-03:00 IST spanning the trading day close; verify seasonal MCX close/release time,No new file on MCX holidays; retain the last MCX trading date as EOD context,WAIT until release cutoff; then MISSING/PARTIAL without overwriting last good data,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.sebi.gov.in/curation/commodity_derivatives.html,,Canonical SEBI-listed MCX Bhavcopy route; browser-TLS fallback rejects Akamai and Sitefinity status pages
52,nse_all_indices,NSE All Equity & Derivative Indices,https://www.nseindia.com/api/allIndices,1,https://www.nseindia.com/api/allIndices,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",INDEPENDENT_SOURCE_JOB,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
53,nse_block_deal,NSE Block Deals Feed,https://www.nseindia.com/api/block-deal,1,https://www.nseindia.com/api/block-deal,INTRADAY_EVENT,Event-driven deal rows during the trading day; end-of-day completeness varies,5 minutes,09:15-18:30 IST on exchange trading days,Stop routine polling after the post-close catch-up window; preserve the last dated result as non-live context,Zero deals may be valid; store VALID_EMPTY only when the response schema and requested date are correct,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
54,nse_announcements,NSE Corporate Announcements Feed,https://www.nseindia.com/api/corporate-announcements?index=equities,3,https://www.nseindia.com/api/corporate-announcements?index=equities | https://www.nseindia.com/companies-listing/corporate-filings-announcements | https://www.nseindia.com/companies-listing/corporate-filings-announcements-xbrl,EVENT_DRIVEN,Published when a company files; can arrive during or after market hours,10 minutes,08:00-23:30 IST daily,Continue on weekends/holidays at reduced cadence because corporate filings can still appear,No new filings is valid only when schema/date filters are valid; do not erase prior populated history,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
55,nse_pledge_data,NSE Promoter Pledge & Encumbered Shares,https://www.nseindia.com/api/corporate-pledgeData,2,https://www.nseindia.com/api/corporate-pledgeData | https://www.nseindia.com/companies-listing/corporate-filings-pledged-data,EVENT_DRIVEN_SLOW,Published on filing/list update events rather than every market tick,30 minutes,08:00-23:30 IST daily,Use 2-hour polling on weekends/holidays unless an active offer/issue requires the normal interval,Valid-empty is allowed only with correct response schema/date; never convert empty into fresh evidence,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
56,nse_shareholding_pattern,NSE Shareholding Pattern Master,https://www.nseindia.com/api/corporate-share-holdings-master,3,https://www.nseindia.com/api/corporate-share-holdings-master | https://www.nseindia.com/api/corporate-share-holdings-master?index=equities&symbol=%7Bsymbol%7D | https://www.nseindia.com/api/corporate-share-holdings-master?index=equities&symbol=RELIANCE,EVENT_DRIVEN_SLOW,Published on filing/list update events rather than every market tick,30 minutes,08:00-23:30 IST daily,Use 2-hour polling on weekends/holidays unless an active offer/issue requires the normal interval,Valid-empty is allowed only with correct response schema/date; never convert empty into fresh evidence,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
59,nse_regulation_29,NSE Regulation 29 SAST Disclosures,https://www.nseindia.com/api/corporate-shareholding-disclosure?type=reg29,3,https://www.nseindia.com/api/corporate-shareholding-disclosure?type=reg29 | https://www.nseindia.com/companies-listing/corporate-filings-regulation-29 | https://www.nseindia.com/companies-listing/corporate-filings-regulation-29-promoters,EVENT_DRIVEN_SLOW,Published on filing/list update events rather than every market tick,30 minutes,08:00-23:30 IST daily,Use 2-hour polling on weekends/holidays unless an active offer/issue requires the normal interval,Valid-empty is allowed only with correct response schema/date; never convert empty into fresh evidence,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
