inventory_id,master_row_type,url,source_role,purpose_jobs,active_source_keys,current_usability,why_not_currently_usable,last_fetch_state,http_status,resolved_url,fetch_explanation,safe_use,next_action,connection_status,parser_status,freshness_status,data_date,record_count,screener_integration,current_gate_state,evidence_source_url,status_as_of,master_canonical_url,master_placeholder_flag,master_evidence_note,source_file,source_csv_excel_row
11,CURRENT_INVENTORY,https://chartalert.in/2024/04/05/bullish-five-0-harmonic-pattern-stock-screener/,REFERENCE_ONLY,DESIGN_REFERENCE,,REFERENCE_ONLY,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,"Workflow, UX or comparison reference; not a TrendForge data authority.",DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,NO_MARKET_DATA_AUTHORITY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://chartalert.in/2024/04/05/bullish-five-0-harmonic-pattern-stock-screener,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,12
12,CURRENT_INVENTORY,https://chartalert.in/software/scanning/scanning-basic/,REFERENCE_ONLY,DESIGN_REFERENCE,,REFERENCE_ONLY,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,"Workflow, UX or comparison reference; not a TrendForge data authority.",DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,NO_MARKET_DATA_AUTHORITY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://chartalert.in/software/scanning/scanning-basic,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,13
13,CURRENT_INVENTORY,https://chartink.com/screener/copy-harmonic-create-5,REFERENCE_ONLY,DESIGN_REFERENCE,,REFERENCE_ONLY,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,"Workflow, UX or comparison reference; not a TrendForge data authority.",DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,NO_MARKET_DATA_AUTHORITY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://chartink.com/screener/copy-harmonic-create-5,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,14
14,CURRENT_INVENTORY,https://clickalgo.com/harmonic-indicator,REFERENCE_ONLY,DESIGN_REFERENCE,,REFERENCE_ONLY,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,"Workflow, UX or comparison reference; not a TrendForge data authority.",DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,NO_MARKET_DATA_AUTHORITY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://clickalgo.com/harmonic-indicator,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,15
15,CURRENT_INVENTORY,https://cotpricecharts.com/,SECONDARY_DISCOVERY,DISCOVERY,,SECONDARY_DISCOVERY,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,May create a lead only; the claim must be reconciled to official evidence.,DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,SECONDARY_DISCOVERY_ONLY,NOT_LINKED,NOT_LINKED,,,DISCOVERY_ONLY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://cotpricecharts.com,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,16
16,CURRENT_INVENTORY,https://docs.motivewave.com/user-guide/scanner,REFERENCE_ONLY,DESIGN_REFERENCE,,REFERENCE_ONLY,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,"Workflow, UX or comparison reference; not a TrendForge data authority.",DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,NO_MARKET_DATA_AUTHORITY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://docs.motivewave.com/user-guide/scanner,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,17
17,CURRENT_INVENTORY,https://docs.trendoscope.com/harmonic-pattern-extreme/,REFERENCE_ONLY,DESIGN_REFERENCE,,REFERENCE_ONLY,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,"Workflow, UX or comparison reference; not a TrendForge data authority.",DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,NO_MARKET_DATA_AUTHORITY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://docs.trendoscope.com/harmonic-pattern-extreme,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,18
18,CURRENT_INVENTORY,https://fpi.nsdl.co.in/web/Reports/Latest.aspx,OFFICIAL_OR_PRIMARY,RESEARCH_CONTEXT,nsdl_fpi_daily,CONNECTED_FRESH_STRUCTURED,No connection blocker; use remains limited by declared source scope and final gate confluence.,nsdl_fpi_daily:NEW,nsdl_fpi_daily:200,nsdl_fpi_daily:https://fpi.nsdl.co.in/web/Reports/Latest.aspx,nsdl_fpi_daily: Parsed 34 NSDL aggregate FPI daily-trend rows.,Official or primary landing/data source; URL presence alone cannot unlock READY.,MONITOR_FRESHNESS_SCHEMA_DRIFT_AND_SCOPE,CONNECTED_FRESH_STRUCTURED,nsdl_fpi_daily:STRUCTURED_OK,nsdl_fpi_daily:FRESH,nsdl_fpi_daily:2026-07-13,nsdl_fpi_daily:34,GATE_DEPENDENCY,nsdl_fpi_daily:PASS,nsdl_fpi_daily:https://fpi.nsdl.co.in/web/Reports/Latest.aspx,2026-07-14,https://fpi.nsdl.co.in/web/Reports/Latest.aspx,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,19
19,CURRENT_INVENTORY,https://www.fbil.org.in/,OFFICIAL_OR_PRIMARY,RESEARCH_CONTEXT,,METADATA_ONLY,Official/primary URL is inventoried but has not been converted into a verified artifact contract.,HTML_METADATA_ONLY,200,https://www.fbil.org.in/,No verified row-level payload contract.,Official or primary landing/data source; URL presence alone cannot unlock READY.,Discover official API/file contract or retain as reference only.,METADATA_ONLY,NOT_LINKED,NOT_LINKED,,,NOT_CONNECTED,NOT_A_GATE_DEPENDENCY,https://www.fbil.org.in/,2026-07-14,https://www.fbil.org.in,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,20
20,CURRENT_INVENTORY,https://fred.stlouisfed.org/series/DFII10,OFFICIAL_OR_PRIMARY,RESEARCH_CONTEXT,fred_real_yield_10y,CONNECTED_FRESH_STRUCTURED,No connection blocker; use remains limited by declared source scope and final gate confluence.,fred_real_yield_10y:NEW,fred_real_yield_10y:200,fred_real_yield_10y:https://fred.stlouisfed.org/graph/fredgraph.csv?id=DFII10,fred_real_yield_10y: Parsed 5883 FRED DFII10 observations.,Official or primary landing/data source; URL presence alone cannot unlock READY.,MONITOR_FRESHNESS_SCHEMA_DRIFT_AND_SCOPE,CONNECTED_FRESH_STRUCTURED,fred_real_yield_10y:STRUCTURED_OK,fred_real_yield_10y:FRESH,fred_real_yield_10y:2026-07-09,fred_real_yield_10y:5883,RESEARCH_CONTEXT_ONLY,NOT_A_GATE_DEPENDENCY,fred_real_yield_10y:https://fred.stlouisfed.org/graph/fredgraph.csv?id=DFII10,2026-07-14,https://fred.stlouisfed.org/series/DFII10,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,21
21,CURRENT_INVENTORY,https://fred.stlouisfed.org/series/DTWEXBGS,OFFICIAL_OR_PRIMARY,RESEARCH_CONTEXT,fred_broad_dollar_index,CONNECTED_FRESH_STRUCTURED,"No connection blocker; the keyless official FRED CSV is archived, schema-validated, and normalized.",fred_broad_dollar_index:CHANGED,fred_broad_dollar_index:200,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DTWEXBGS,"Parsed 5,144 DTWEXBGS observations through 2026-07-10.",Official or primary landing/data source; URL presence alone cannot unlock READY.,MONITOR_FRESHNESS_SCHEMA_DRIFT_AND_SCOPE,CONNECTED_FRESH_STRUCTURED,fred_broad_dollar_index:STRUCTURED_OK,fred_broad_dollar_index:FRESH,fred_broad_dollar_index:2026-07-10,fred_broad_dollar_index:5144,MACRO_CONTEXT,fred_broad_dollar_index:PASS_CONTEXT_ONLY,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DTWEXBGS,2026-07-15,https://fred.stlouisfed.org/series/DTWEXBGS,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,22
22,CURRENT_INVENTORY,https://github.com/BennyThadikaran/stock-pattern,OPEN_SOURCE_REFERENCE,IMPLEMENTATION_REFERENCE,,OPEN_SOURCE_REFERENCE,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,Library or implementation reference subject to license and deterministic validation.,DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,OPEN_SOURCE_REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,IMPLEMENTATION_REFERENCE_ONLY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://github.com/BennyThadikaran/stock-pattern,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,23
23,CURRENT_INVENTORY,https://github.com/djoffrey/HarmonicPatterns,OPEN_SOURCE_REFERENCE,IMPLEMENTATION_REFERENCE,,OPEN_SOURCE_REFERENCE,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,Library or implementation reference subject to license and deterministic validation.,DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,OPEN_SOURCE_REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,IMPLEMENTATION_REFERENCE_ONLY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://github.com/djoffrey/HarmonicPatterns,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,24
24,CURRENT_INVENTORY,https://github.com/niall-oc/pyharmonics,OPEN_SOURCE_REFERENCE,IMPLEMENTATION_REFERENCE,,OPEN_SOURCE_REFERENCE,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,Library or implementation reference subject to license and deterministic validation.,DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,OPEN_SOURCE_REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,IMPLEMENTATION_REFERENCE_ONLY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://github.com/niall-oc/pyharmonics,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,25
25,CURRENT_INVENTORY,https://github.com/kustex/CFTC-COT-Report.git,OPEN_SOURCE_REFERENCE,IMPLEMENTATION_REFERENCE,,OPEN_SOURCE_REFERENCE,Intentionally limited to reference or discovery; it cannot be trading proof.,NOT_ATTEMPTED_IN_BOUNDED_AUDIT,,,Not network-tested by the bounded 2026-07-13 audit; this is not the same as fetch failure.,Library or implementation reference subject to license and deterministic validation.,DO_NOT_ACTIVATE_AS_GATE_AUTHORITY,OPEN_SOURCE_REFERENCE_ONLY,NOT_LINKED,NOT_LINKED,,,IMPLEMENTATION_REFERENCE_ONLY,NOT_A_GATE_DEPENDENCY,,2026-07-14,https://github.com/kustex/CFTC-COT-Report.git,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,26
26,CURRENT_INVENTORY,https://globaldatafeeds.in/apis/,LICENSED_CANDIDATE,FLOW_CONFIRMATION|EXECUTION_RISK,,HTML_SCHEMA_PENDING,Licensed credentials/subscription are required.,HTML_STRUCTURED_CANDIDATE,200,https://globaldatafeeds.in/apis/,HTML contains structured rows but semantics/date schema are not verified.,"Requires a contracted feed, entitlement and verified adapter before gate use.",Implement source-specific deterministic HTML/embedded-JSON parser.,LICENSE_REQUIRED,NOT_LINKED,NOT_LINKED,,,NOT_CONNECTED,NOT_A_GATE_DEPENDENCY,https://globaldatafeeds.in/apis/,2026-07-14,https://globaldatafeeds.in/apis,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,27
27,CURRENT_INVENTORY,https://dgciskol.gov.in/,OFFICIAL_OR_PRIMARY,RESEARCH_CONTEXT,,ARTIFACT_CAPTURED_SCHEMA_PENDING,Official/primary URL is inventoried but has not been converted into a verified artifact contract.,BINARY_ARTIFACT_CANDIDATE,200,https://dgciskol.gov.in/QE_HS_Mapping.xlsx,Artifact fetched but no source-specific normalized schema is verified.,Official or primary landing/data source; URL presence alone cannot unlock READY.,"Add fixture, strict parser, data-date policy and row persistence.",ARTIFACT_CAPTURED_SCHEMA_PENDING,NOT_LINKED,NOT_LINKED,,,NOT_CONNECTED,NOT_A_GATE_DEPENDENCY,https://dgciskol.gov.in/QE_HS_Mapping.xlsx,2026-07-14,https://dgciskol.gov.in,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,28
28,CURRENT_INVENTORY,https://desagri.gov.in/,OFFICIAL_OR_PRIMARY,RESEARCH_CONTEXT,,FETCH_BLOCKED,Official/primary URL is inventoried but has not been converted into a verified artifact contract.,FETCH_ERROR,,https://desagri.gov.in/,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>,Official or primary landing/data source; URL presence alone cannot unlock READY.,Retry on source schedule or discover a current official contract; remain fail-closed.,FETCH_BLOCKED,NOT_LINKED,NOT_LINKED,,,NOT_CONNECTED,NOT_A_GATE_DEPENDENCY,https://desagri.gov.in/,2026-07-14,https://desagri.gov.in,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,29
29,CURRENT_INVENTORY,https://en.sge.com.cn/h5_data_BenchmarkPrice,OFFICIAL_OR_PRIMARY,ELIGIBILITY_VETO|FLOW_CONFIRMATION|EXECUTION_RISK,sge_benchmark_gold,CONNECTED_FRESH_STRUCTURED,"No fetch/schema blocker for benchmark trend context. The source does not contain LBMA, FX, tax, or unit-alignment inputs, so it cannot calculate an SGE physical premium.",sge_benchmark_gold:RAW_ARCHIVED,sge_benchmark_gold:200,https://en.sge.com.cn/graph/DayilyJzj,"Normalized 4,974 SGE zp/wp benchmark observations; latest source date 2026-07-13.","Delayed SGE benchmark trend and within-source spread context only; never label it SGE-LBMA premium without aligned LBMA, FX, tax, and units.",MONITOR_FRESHNESS_AND_VERIFY_ZP_WP_SEMANTICS,CONNECTED_FRESH_STRUCTURED,sge_benchmark_gold:STRUCTURED_OK,sge_benchmark_gold:FRESH,sge_benchmark_gold:2026-07-13,sge_benchmark_gold:4974,MCX_RESEARCH_CONTEXT,sge_benchmark_gold:PASS_CONTEXT_ONLY,https://en.sge.com.cn/graph/DayilyJzj,2026-07-15,https://en.sge.com.cn/h5_data_BenchmarkPrice,NO,Copied from CURRENT_211_LINK_USABILITY_2026-07-16.csv,CURRENT_211_LINK_USABILITY_2026-07-16.csv,30
