requirement_id,source_file,source_section,requirement,status,merge_milestone,hybrid_reference,backend_module,api_route,frontend_location,test_ids,decision,reason,evidence_level,product_scope,priority,last_verified
CROSS-015,new_merge_PLAN_2026-07-18.md,25.5,TradabilityRestriction full fields,IMPLEMENTED,R6,Hybrid 17.2 P0.1,selection/tradability.py + S7/S8 integration; backend/trendforge_api/selection/tradability.py; backend/trendforge_api/selection/s7_state_gates.py; backend/trendforge_api/selection/s8_persist_run.py,GET /api/v1/selection/tradability,frontend/s7-state.js,test_tradability_gate.py; backend/tests/test_tradability_gate.py,IMPROVE,Dual-file CROSS pointer,TESTED_OFFLINE,RESEARCH,P0,2026-09-03
CROSS-016,new_merge_PLAN_2026-07-18.md,25.5,Event MATCHED/POSSIBLE_MATCH,PARTIAL,R14,Hybrid 19.8,event claims; backend/trendforge_api/parsers/corporate_events_parser.py,,,,ADD,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P1,2026-07-20
CROSS-017,new_merge_PLAN_2026-07-18.md,25.5,Productivity FOMO compare journal,PLANNED,UI,Hybrid 9-10,frontend,,,,LINK_TO_B,Dual-file CROSS pointer,DOCUMENTED,RESEARCH,P2,2026-07-20
CROSS-018,new_merge_PLAN_2026-07-18.md,25.5,Confidence vs evidence rank labels,PARTIAL,UI,Hybrid 15.5 16.9,q5-contract.js,,frontend/q5-contract.js,,KEEP,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P1,2026-07-20
CROSS-019,new_merge_PLAN_2026-07-18.md,25.5,EvidenceClaim timestamps,PARTIAL,R1,Hybrid 7 17.2,selection/contracts.py; backend/trendforge_api/selection/contracts.py,,,,IMPROVE,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P0,2026-07-20
CROSS-020,new_merge_PLAN_2026-07-18.md,25.5,Raw vs AdjustedMarketSeries,PARTIAL,R1,Hybrid 17.2 P0.2,storage candles; backend/trendforge_api/parquet_store.py,,,,IMPROVE,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P0,2026-07-20
CROSS-021,new_merge_PLAN_2026-07-18.md,25.5,MARKET_FLOW parent cap,PARTIAL,FUS,Hybrid 17.2 P0.4,resolver.py; backend/trendforge_api/selection/resolver.py,,,,IMPROVE,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P1,2026-07-20
CROSS-022,new_merge_PLAN_2026-07-18.md,25.5,OpenAlgo interface methods,PARTIAL,Q5-R7/R17,Hybrid 16.13,openalgo_client.py; backend/trendforge_api/openalgo_client.py,,,,KEEP,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P1,2026-07-20
CROSS-023,new_merge_PLAN_2026-07-18.md,25.5,PIT calibration guards,IMPLEMENTED,R16,Hybrid 15.5 16.11,selection/r16_pit.py + selection/r16_metrics.py + selection/r16_store.py + selection/r16_service.py; backend/trendforge_api/selection/history_validation.py,,,,POSTPONE_UI,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P1,2026-07-20
CROSS-024,new_merge_PLAN_2026-07-18.md,25.5,Extra failure narratives,PARTIAL,tests,Hybrid 17.10 18.11,tests/,,,backend/tests/test_q5_selection_contracts.py,KEEP,Dual-file CROSS pointer,CODE_PRESENT,RESEARCH,P1,2026-07-20
TDG-GAP-001,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Source contract 15 extra fields,PARTIAL,R0,Hybrid 15.3,source_inventory_compiler.py; backend/trendforge_api/source_inventory_compiler.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,ADD,"All 15 fields are exposed, but every current contract remains unresolved until source-specific values and proofs are supplied",TESTED_OFFLINE,RESEARCH,P0,2026-07-20
TDG-GAP-002,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Regime labels and size multipliers,PLANNED,S2,Hybrid 5 Stage 3,,,,,LINK_TO_B,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P2,2026-07-20
TDG-GAP-003,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,ESOP inter-se gift enrichment rules,PLANNED,R6,Hybrid 5 Stage 5,,,,,LINK_TO_B,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P1,2026-07-20
TDG-GAP-004,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,EvidenceClaim 19 base fields plus File A PIT fields,PARTIAL,R1,Hybrid 7,,,,,ADD,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P0,2026-07-20
TDG-GAP-005,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Guidance contract 19 fields qty postpone,PARTIAL,UI,Hybrid 7,,,,,POSTPONE_QTY,TDG-GAP dual-file governance,DOCUMENTED,POSTPONE_OR_REJECT,P2,2026-07-20
TDG-GAP-006,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Productivity 10 requirements,PLANNED,UI,Hybrid 10,,,,,LINK_TO_B,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P2,2026-07-20
TDG-GAP-007,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,4-lane reliability architecture,PLANNED,R17,Hybrid 15.2,,,,,LINK_TO_B,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P1,2026-07-20
TDG-GAP-008,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Trust combinations table,PLANNED,FUS,Hybrid 15.4,,,,,LINK_TO_B,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P2,2026-07-20
TDG-GAP-009,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Probability promotion Brier ECE 200,POSTPONED,R16,Hybrid 15.5,,,,,POSTPONE,TDG-GAP dual-file governance,DOCUMENTED,POSTPONE_OR_REJECT,P2,2026-07-20
TDG-GAP-010,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Execution preflight tick lot freeze,POSTPONED,future,Hybrid 15.6,,,,,POSTPONE,TDG-GAP dual-file governance,DOCUMENTED,POSTPONE_OR_REJECT,P3,2026-07-20
TDG-GAP-011,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,10-state source maturity ladder,PARTIAL,R0,Hybrid 16.3,source_inventory_compiler.py; backend/trendforge_api/source_inventory_compiler.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,ADD,"The complete ten-state maturity ladder is typed, counted and exposed without status-text promotion, but source transitions are not separately persisted with history",OBSERVED_RUNTIME,RESEARCH,P0,2026-07-22
TDG-GAP-012,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,11 inventory defects enumeration,IMPLEMENTED,R0,Hybrid 16.4,source_inventory_compiler.py; backend/trendforge_api/source_inventory_compiler.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,LINK_TO_B,"All 11 Hybrid defect classes are first-class compiler/API codes with zero-inclusive counts, migration actions and adversarial fixtures",OBSERVED_RUNTIME,RESEARCH,P0,2026-07-22
TDG-GAP-013,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Living source-key enumeration and endpoint disposition,IMPLEMENTED,R0,Hybrid 16.6,source_inventory_compiler.py; backend/trendforge_api/source_inventory_compiler.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,LINK_TO_B,"Current 118 inventory and 74 runtime keys compile to one reviewed 129-key union; 197 hash IDs remain lineage-only, all 351 endpoints have explicit dispositions, and drift fails closed",TESTED_OFFLINE,RESEARCH,P0,2026-07-20
TDG-GAP-014,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Exact contract names per profile,IMPLEMENTED,R2/R6,Hybrid 16.7,backend/trendforge_api/selection/profile_source_contracts.py,,,backend/tests/test_profile_source_contracts.py,ADD,TDG-GAP dual-file governance,CODE_PRESENT,RESEARCH,P0,2026-09-02
TDG-GAP-015,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Exact feature calculation formulas,PARTIAL,R5/R8,Hybrid 16.8,,,,,LINK_TO_B,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P0,2026-07-20
TDG-GAP-016,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,q_i quality formula,PARTIAL,R3/FUS,Hybrid 16.9,,,,,ADD,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P0,2026-07-20
TDG-GAP-017,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,PIT feature store schema labels metrics,IMPLEMENTED,R16,Hybrid 16.11,,,,,LINK_TO_B,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P1,2026-07-20
TDG-GAP-018,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,14-state breakage recovery SM,PLANNED,R17,Hybrid 16.12,,,,,LINK_TO_B,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P1,2026-07-20
TDG-GAP-019,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,OpenAlgo 9+5 methods,PARTIAL,R17,Hybrid 16.13,,,,,POSTPONE_EXEC,TDG-GAP dual-file governance,DOCUMENTED,POSTPONE_OR_REJECT,P1,2026-07-20
TDG-GAP-020,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Risk sizing INR formula,POSTPONED,H10,Hybrid 16.14,,,,,REJECT_CURRENT,TDG-GAP dual-file governance,DOCUMENTED,POSTPONE_OR_REJECT,P3,2026-07-20
TDG-GAP-021,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Priority activation backlog 1-20,PLANNED,R2,Hybrid 16.16,,,,,ADD,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P1,2026-07-20
TDG-GAP-022,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Per-profile tradability checks,IMPLEMENTED,R6,Hybrid 17.4,selection/tradability.py; selection/s7_state_gates.py; selection/s8_persist_run.py,GET /api/v1/selection/tradability; GET /api/v1/selection/tradability/{symbol},,test_tradability_gate.py,IMPROVE,TDG-GAP dual-file governance,TESTED_OFFLINE,RESEARCH,P0,2026-09-03
TDG-GAP-023,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Versioned cost STT GST list,PLANNED,R16,Hybrid 17.7,,,,,LINK_TO_B,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P2,2026-07-20
TDG-GAP-024,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,11-field dataset-root model plus File A business keys,PARTIAL,R0,Hybrid 18.4,source_inventory_compiler.py; backend/trendforge_api/source_inventory_compiler.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,ADD,"The 11-field model is present, but mirror, resolver and authority-cap values remain UNSPECIFIED pending evidence",TESTED_OFFLINE,RESEARCH,P0,2026-07-20
TDG-GAP-025,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,J01-J14 taxonomy,IMPLEMENTED,R0,Hybrid 19.2,source_inventory_compiler.py; backend/trendforge_api/source_inventory_compiler.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,ADD,"J01-J14 are typed, described, assigned and exposed by the compiler API",OBSERVED_RUNTIME,RESEARCH,P0,2026-07-22
TDG-GAP-026,new_merge_PLAN 25.16 + TWO_DOCUMENT_GOVERNANCE,25.16,Cross-exchange event match states,PARTIAL,R14,Hybrid 19.8,,,,,ADD,TDG-GAP dual-file governance,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-1-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,1,Quantity/risk sizing objective,POSTPONED,POST-HYB-01,Section 1,,,,,POSTPONE,Executable quantity is outside current scope; REJ-011 is broker execution/OMS/account routes,DOCUMENTED,POSTPONE_SIZING,P3,2026-07-20
